no,업력,지역,업종,멘토링,세무,신용등급,이행보증,연계지원,자금,절차간소화
463,1년미만,경기,전기,4,4,5,5,5,5,5
464,1년미만,경남,전기,3,3,5,3,5,5,3
465,7년미만,서울,기타,4,4,5,3,3,5,5
466,1년미만,인천,기타,4,3,5,5,5,5,5
467,1년미만,서울,잡화,4,3,4,4,4,5,4
468,1년미만,경남,금속,4,5,5,5,3,5,5
469,5년미만,서울,유통,4,4,4,4,4,5,4
470,1년미만,인천,기계,5,5,5,5,5,5,5
471,3년미만,제주,유통,4,4,4,5,5,5,5
472,1년미만,경남,정보,5,5,5,5,5,5,5
473,1년미만,인천,유통,4,4,4,4,4,4,4
474,1년미만,서울,유통,4,4,4,3,5,5,5
475,3년미만,대구,기계,5,4,5,,4,5,5
476,3년미만,서울,기타,4,5,4,4,4,5,5
477,5년미만,대구,잡화,3,3,4,4,4,4,4
478,1년미만,부산,전기,2,3,3,4,5,5,5
479,1년미만,경기,전자,3,3,4,5,4,4,4
480,1년미만,충남,식료,5,5,5,5,5,5,5
481,1년미만,경기,기계,3,3,3,3,3,3,3
482,1년미만,전남,전자,1,1,1,5,5,5,5
483,1년미만,충북,잡화,4,4,3,4,4,4,4
484,5년미만,전북,전기,5,5,5,4,5,5,5
485,1년미만,경기,잡화,1,3,3,4,4,4,3
486,7년미만,서울,유통,3,3,4,5,5,5,4
487,3년미만,경기,기타,4,5,4,4,4,5,5
488,1년미만,충북,화공,5,4,4,4,4,5,5
489,3년미만,서울,잡화,3,3,3,3,3,3,3
490,1년미만,강원,기타,5,5,5,5,5,5,3
491,1년미만,서울,기타,3,2,4,4,4,4,3
492,1년미만,경기,전자,3,3,4,5,5,5,5
493,3년미만,인천,기계,3,3,5,5,5,5,5
494,5년미만,경기,유통,4,4,3,3,4,4,3
495,1년미만,경기,잡화,4,4,5,5,5,5,5
496,3년미만,경기,유통,4,4,5,5,5,5,5
497,1년미만,경기,화공,4,4,5,4,5,5,4
498,3년미만,서울,기타,3,3,4,4,4,5,4
499,5년미만,경기,기타,5,5,5,5,5,5,5
500,7년미만,경기,화공,3,3,5,5,5,5,5
501,1년미만,서울,잡화,5,4,5,5,5,5,5
502,3년미만,경북,유통,5,5,5,5,5,5,5
503,1년미만,대전,유통,5,5,5,5,5,4,1
504,5년미만,서울,잡화,2,2,3,3,4,4,4
505,1년미만,대전,전기,4,4,5,5,5,5,5
506,1년미만,경남,화공,4,4,3,4,4,5,4
507,5년미만,경기,기계,4,4,3,3,4,5,3
508,1년미만,경기,화공,5,5,5,5,5,5,5
509,5년미만,서울,기타,2,2,3,3,3,4,5
510,1년미만,서울,전기,4,5,4,4,4,5,3
511,3년미만,경기,금속,4,4,4,4,4,4,4
512,1년미만,충북,기계,5,5,,5,5,5,5
513,1년미만,경기,금속,4,4,3,4,4,4,4
514,3년미만,경기,정보,4,4,4,4,4,5,5
515,3년미만,서울,기계,4,3,3,3,3,4,3
516,1년미만,전북,금속,4,4,4,4,4,4,4
517,1년미만,경기,기계,5,5,5,5,5,5,3
518,3년미만,경기,화공,3,3,4,4,4,4,4
519,5년미만,인천,유통,5,5,5,5,5,5,5
520,3년미만,광주,금속,5,5,5,5,5,3,5
521,3년미만,전남,화공,5,5,5,5,5,5,5
522,1년미만,광주,유통,5,5,5,5,5,5,5
523,3년미만,서울,정보,3,3,5,5,5,5,5
524,1년미만,서울,잡화,5,4,5,5,5,5,5
525,3년미만,인천,전자,4,5,5,4,4,5,5
526,1년미만,울산,금속,5,5,5,5,5,5,5
527,1년미만,대전,전자,3,3,4,4,4,5,4
528,5년미만,전남,기타,3,4,4,4,4,4,4
529,3년미만,서울,기타,5,5,5,5,5,5,5
530,1년미만,대구,섬유,4,3,3,4,5,5,4
531,3년미만,경기,금속,5,5,5,5,5,5,5
532,5년미만,서울,유통,4,4,3,5,4,5,4
533,3년미만,강원,기타,5,4,5,4,4,5,5
534,3년미만,서울,정보,4,4,4,4,4,4,4
535,1년미만,경기,전자,4,3,4,4,4,5,5
536,1년미만,부산,금속,4,2,3,4,2,4,4
537,1년미만,경기,잡화,4,4,4,4,4,5,5
538,3년미만,전북,기타,4,3,4,5,5,5,4
539,1년미만,인천,기계,3,3,3,4,3,4,5
540,3년미만,경기,기계,4,3,4,4,4,5,4
541,1년미만,서울,섬유,4,3,3,3,3,3,3
542,3년미만,경남,금속,3,3,4,3,4,4,4
543,5년미만,대구,잡화,4,4,4,4,4,5,4
544,1년미만,대구,전자,4,4,4,4,4,4,4
545,3년미만,경기,정보,3,3,3,3,3,3,3
546,1년미만,대구,유통,4,4,4,4,4,5,4
547,3년미만,경기,잡화,3,3,5,5,3,3,3
548,1년미만,서울,정보,5,5,5,5,5,5,5
549,5년미만,대구,유통,4,4,3,3,3,5,4
550,3년미만,강원,금속,4,4,4,4,3,4,4
551,1년미만,서울,전자,5,5,5,5,5,5,5
552,1년미만,경기,정보,4,4,5,5,5,5,5
553,1년미만,제주,전기,4,3,4,4,4,5,4
554,5년미만,울산,기계,4,4,4,3,1,1,3
555,1년미만,대전,정보,4,4,5,5,5,5,5
556,3년미만,경기,기계,4,4,5,5,5,5,5
557,1년미만,부산,전기,2,3,3,3,3,3,4
558,3년미만,경기,전기,3,4,4,4,3,4,4
559,5년미만,서울,잡화,5,5,5,5,5,5,5
560,3년미만,경기,식료,5,5,5,5,5,5,5
561,1년미만,울산,기계,5,5,5,5,5,5,5
562,1년미만,서울,잡화,5,3,3,3,5,5,5
563,3년미만,전남,섬유,5,5,5,5,4,5,5
564,1년미만,대전,전자,3,3,4,4,4,3,4
565,1년미만,서울,전기,4,4,4,4,4,4,4
566,1년미만,경기,잡화,3,3,3,4,3,4,4
567,3년미만,경기,화공,3,3,3,3,3,3,3
568,1년미만,서울,금속,4,5,,4,4,5,5
569,1년미만,인천,금속,3,3,3,4,4,4,3
570,1년미만,경남,기계,4,4,4,4,4,4,4
571,1년미만,경기,기계,5,4,5,4,4,5,5
572,5년미만,경기,전기,3,3,4,4,4,5,4
573,1년미만,강원,잡화,3,3,4,4,3,3,4
574,3년미만,울산,유통,4,4,4,4,4,4,4
575,5년미만,경기,유통,5,3,3,3,3,4,4
576,1년미만,경기,금속,2,3,3,3,3,3,3
577,5년미만,대구,섬유,4,,5,4,4,5,
578,1년미만,충남,금속,5,5,5,5,5,5,5
579,1년미만,충북,전기,4,3,3,4,4,5,4
580,3년미만,경기,금속,4,4,4,4,5,5,5
581,5년미만,경남,잡화,4,4,5,4,4,5,4
582,1년미만,부산,유통,5,4,5,5,5,5,4
583,3년미만,경기,화공,4,5,4,3,4,5,5
584,1년미만,서울,유통,3,3,4,3,4,4,4
585,1년미만,경기,유통,5,5,5,5,5,5,5
586,5년미만,경기,화공,4,3,3,4,5,5,5
587,1년미만,전남,기계,4,4,5,4,4,4,4
588,3년미만,경기,기계,3,3,5,4,4,4,4
589,1년미만,경기,기계,5,4,4,5,5,5,4
590,1년미만,서울,전자,4,3,3,3,4,5,4
591,1년미만,경기,금속,4,3,3,3,3,4,4
592,1년미만,인천,화공,5,5,4,4,5,5,5
593,3년미만,경기,기계,1,1,1,2,5,5,5
594,1년미만,경기,잡화,5,5,5,5,5,5,5
595,1년미만,경기,잡화,5,5,5,5,5,5,5
596,1년미만,서울,기타,5,5,5,5,5,5,5
597,1년미만,서울,정보,3,4,4,4,3,4,4
598,5년미만,대전,유통,3,3,3,3,3,3,3
599,5년미만,서울,기타,3,3,4,4,4,5,4
600,5년미만,인천,전자,4,3,5,3,5,5,5
601,1년미만,부산,전기,4,4,5,5,4,4,4
602,1년미만,경기,잡화,5,5,5,5,5,5,5
603,3년미만,서울,섬유,4,4,5,4,5,5,5
604,1년미만,서울,정보,3,3,3,3,4,5,4
605,3년미만,서울,화공,5,5,5,5,5,5,5
606,3년미만,서울,정보,3,3,5,5,4,5,5
607,5년미만,경기,유통,5,3,5,5,5,5,5
608,3년미만,경남,식료,3,4,3,3,3,3,3
609,5년미만,경기,기계,5,4,4,3,4,3,4
610,7년미만,경북,금속,5,5,5,5,5,5,5
611,1년미만,경기,화공,4,4,4,4,4,4,4
612,1년미만,서울,잡화,5,5,5,5,5,5,5
613,1년미만,경기,기타,5,5,5,5,5,5,5
614,1년미만,서울,유통,4,3,4,3,4,5,3
615,7년미만,울산,잡화,4,4,4,4,4,4,4
616,1년미만,서울,화공,3,2,4,4,3,5,4
617,1년미만,강원,유통,3,3,4,4,4,4,4
618,5년미만,인천,금속,5,5,5,5,5,5,5
619,1년미만,서울,기타,3,3,3,3,3,3,3
620,1년미만,전남,기계,1,1,1,1,1,1,1
621,5년미만,전남,기타,3,3,3,3,3,5,5
622,1년미만,경기,금속,4,4,4,4,4,4,4
623,3년미만,경기,유통,4,5,5,5,5,5,5
624,1년미만,서울,기타,4,5,4,4,5,5,5
625,1년미만,전남,금속,5,3,5,5,5,5,5
626,5년미만,충남,전기,4,3,5,5,5,5,5
627,1년미만,경남,금속,4,4,5,2,4,5,5
628,1년미만,인천,유통,5,5,5,5,5,5,5
629,1년미만,서울,유통,5,5,5,5,5,5,5
630,1년미만,경기,기계,3,3,3,3,3,4,4
631,3년미만,충북,화공,2,2,2,2,2,3,2
632,3년미만,경기,화공,5,4,5,5,4,5,5
633,3년미만,경기,화공,4,4,4,4,4,4,4
634,3년미만,경기,섬유,4,3,,5,5,5,5
635,1년미만,경기,기타,2,5,5,5,4,5,5
636,3년미만,서울,유통,5,5,5,5,5,5,5
637,1년미만,부산,섬유,3,4,5,5,5,5,5
638,5년미만,경기,전기,5,5,5,5,5,5,5
639,3년미만,경기,섬유,3,3,3,3,3,3,3
640,7년미만,경기,화공,3,3,3,3,3,3,3
641,3년미만,서울,정보,3,3,4,5,5,5,4
642,5년미만,경기,기계,2,3,3,3,3,3,4
643,3년미만,충북,유통,4,4,4,4,4,4,4
644,1년미만,울산,정보,4,4,5,5,5,5,5
645,1년미만,인천,기타,5,3,3,3,3,5,5
646,1년미만,경남,금속,2,2,5,5,5,5,5
647,5년미만,전북,유통,3,3,4,5,4,4,3
648,1년미만,경기,기계,4,4,4,4,4,4,4
649,1년미만,전북,잡화,3,5,5,5,3,5,5
650,3년미만,대전,정보,3,3,5,4,5,5,5
651,3년미만,서울,유통,4,4,5,5,5,5,3
652,3년미만,충남,잡화,4,4,4,4,4,4,4
653,1년미만,경기,식료,,,,,,5,
654,3년미만,서울,유통,5,4,5,5,5,5,5
655,5년미만,경기,금속,4,4,4,4,4,4,4
656,3년미만,서울,정보,5,4,1,1,5,5,5
657,5년미만,경기,잡화,4,4,5,3,4,5,5
658,1년미만,경기,잡화,3,3,3,3,3,3,3
659,5년미만,대전,잡화,4,4,5,5,5,5,5
660,5년미만,경기,유통,4,4,4,4,4,4,4
661,7년미만,서울,유통,3,3,3,3,3,4,3
662,3년미만,경남,잡화,4,4,5,5,5,5,5
663,3년미만,경기,잡화,5,5,5,5,5,5,5
664,1년미만,광주,유통,5,4,5,5,4,5,5
665,1년미만,인천,기계,3,3,3,3,3,3,3
666,1년미만,광주,잡화,3,3,4,4,3,4,4
667,3년미만,충남,유통,3,4,5,4,5,5,5
668,5년미만,인천,금속,4,4,4,4,4,4,4
669,1년미만,경기,금속,4,4,4,4,4,5,5
670,3년미만,부산,금속,4,4,4,3,4,4,4
671,1년미만,충북,잡화,4,4,5,4,4,5,5
672,5년미만,경기,잡화,4,4,4,4,5,5,4
673,3년미만,경기,금속,4,4,4,4,4,4,4
674,3년미만,부산,전기,4,4,4,4,4,5,4
675,5년미만,부산,금속,4,3,5,5,5,5,3
676,7년미만,서울,유통,3,3,3,3,3,3,3
677,1년미만,광주,기계,5,5,5,5,5,5,5
678,1년미만,인천,전기,3,,,,,3,3
679,1년미만,경기,금속,4,4,4,4,4,4,4
680,1년미만,경북,금속,,,5,5,5,5,5
681,3년미만,부산,기계,3,5,5,5,3,4,4
682,1년미만,인천,유통,5,5,5,5,5,5,5
683,1년미만,부산,화공,5,3,4,4,4,5,5
684,3년미만,경북,섬유,5,4,4,3,4,4,4
685,1년미만,부산,기타,4,2,5,3,5,5,5
686,3년미만,충북,화공,5,5,5,5,5,5,5
687,5년미만,경기,화공,3,4,4,4,4,4,4
688,1년미만,경기,전기,2,2,4,,4,4,4
689,1년미만,경남,식료,4,4,4,5,4,5,4
690,3년미만,경기,전기,3,3,3,3,3,5,4
691,7년미만,경기,전자,4,4,5,4,4,5,5
692,1년미만,경북,유통,4,3,4,4,4,5,4
693,5년미만,경기,유통,5,3,5,3,5,5,5
694,5년미만,경북,유통,5,5,5,5,5,5,5
695,5년미만,서울,전기,3,3,2,4,4,5,3
696,5년미만,서울,유통,4,3,4,4,4,4,3
697,3년미만,경남,잡화,5,4,5,5,4,5,4
698,1년미만,경기,기타,5,5,5,4,4,5,5
699,5년미만,울산,유통,5,4,4,4,4,5,4
700,1년미만,울산,유통,3,3,3,3,3,3,3
701,7년미만,서울,금속,5,5,5,5,5,5,5
702,3년미만,서울,전자,4,3,4,4,4,4,4
703,3년미만,서울,잡화,3,3,5,5,4,5,4
704,1년미만,부산,화공,3,3,3,2,2,2,3
705,3년미만,경기,유통,2,2,2,2,2,2,2
706,1년미만,경기,유통,5,5,4,4,5,5,4
707,3년미만,경남,유통,4,4,4,4,4,4,4
708,3년미만,경남,유통,4,5,5,5,5,5,5
709,3년미만,제주,유통,2,2,2,2,2,2,2
710,1년미만,전북,기계,3,3,3,3,3,3,3
711,1년미만,경기,금속,3,3,3,3,3,3,3
712,7년미만,경기,전기,4,3,5,5,5,5,4
713,1년미만,경기,기계,4,4,4,3,4,4,4
714,1년미만,경기,유통,3,4,4,4,4,4,3
715,1년미만,경기,금속,4,4,5,5,5,5,5
716,1년미만,충남,전자,4,4,5,4,5,5,5
717,1년미만,인천,기타,5,5,5,5,5,5,5
718,1년미만,경남,기계,4,4,5,4,5,5,5
719,5년미만,서울,화공,4,3,4,3,4,5,5
720,3년미만,세종,금속,3,4,3,3,3,2,2
721,1년미만,충남,기계,5,5,5,5,5,5,5
722,1년미만,인천,전기,4,5,5,4,4,5,5
723,5년미만,대구,정보,5,4,5,4,5,5,5
724,1년미만,전북,유통,4,4,5,4,4,5,4
725,3년미만,서울,정보,4,4,3,3,4,5,3
726,1년미만,경기,정보,4,3,5,4,3,4,4
727,1년미만,대전,정보,3,3,3,5,5,5,5
728,1년미만,경남,정보,5,3,5,5,5,5,5
729,1년미만,경남,화공,5,4,5,4,4,5,4
730,1년미만,부산,전기,4,5,3,4,5,5,5
731,7년미만,경기,기계,5,4,5,4,3,5,3
732,3년미만,서울,정보,2,3,5,5,5,5,5
733,1년미만,경기,기계,5,3,3,3,5,3,3
734,1년미만,인천,금속,4,4,4,5,5,5,5
735,1년미만,서울,정보,3,2,5,4,4,5,4
736,7년미만,경북,유통,4,4,4,5,4,4,4
737,3년미만,대전,기계,4,4,5,5,5,5,5
738,1년미만,부산,화공,5,5,5,5,5,5,5
739,1년미만,경기,기계,5,4,5,5,5,5,5
740,1년미만,인천,기계,4,4,4,4,4,5,5
741,1년미만,서울,전기,3,4,4,4,5,5,3
742,3년미만,경기,화공,3,2,3,3,2,4,4
743,5년미만,경기,화공,5,4,5,5,5,5,5
744,3년미만,서울,유통,3,3,3,3,3,3,3
745,1년미만,울산,기계,5,5,5,5,5,5,5
746,1년미만,인천,정보,3,3,3,3,4,4,3
747,5년미만,대전,금속,5,5,5,5,5,5,5
748,3년미만,인천,화공,3,3,3,3,3,5,5
749,3년미만,인천,잡화,3,3,3,3,3,3,3
750,3년미만,서울,정보,4,4,4,4,4,4,4
751,1년미만,대전,기계,3,3,3,3,3,3,3
752,1년미만,서울,기계,4,4,4,4,4,4,4
753,1년미만,부산,전기,3,4,4,3,3,4,4
754,1년미만,경기,화공,3,3,5,5,5,5,5
755,1년미만,충북,잡화,3,3,4,4,4,4,4
756,5년미만,인천,화공,5,5,4,4,4,4,4
757,1년미만,경기,잡화,3,3,3,3,3,3,3
758,1년미만,강원,정보,4,5,5,5,5,5,5
759,1년미만,부산,식료,4,3,3,4,5,5,4
760,1년미만,경기,전자,4,4,4,4,4,4,5
761,5년미만,경기,화공,3,3,3,3,3,3,3
762,7년미만,인천,잡화,4,4,4,4,4,5,5
763,5년미만,광주,전자,3,3,3,3,3,3,3
764,5년미만,울산,기계,4,3,3,3,3,4,3
765,1년미만,서울,섬유,5,5,4,4,4,5,5
766,7년미만,경남,유통,5,5,5,5,5,5,5
767,3년미만,경남,금속,5,4,5,4,4,5,4
768,5년미만,경기,기타,3,3,4,4,4,4,4
769,5년미만,부산,전기,4,5,5,4,5,5,5
770,3년미만,경기,전자,5,5,5,5,5,5,5
771,5년미만,경기,화공,4,4,5,4,4,5,5
772,1년미만,경기,기계,4,4,5,4,4,5,4
773,3년미만,인천,전기,4,4,4,4,4,4,4
774,1년미만,부산,기타,3,3,4,4,5,5,5
775,1년미만,경기,화공,4,3,5,4,4,5,5
776,3년미만,전북,기계,5,4,4,4,4,5,4
777,5년미만,광주,기계,5,5,5,5,5,5,5
778,1년미만,부산,잡화,4,4,2,4,2,4,4
779,7년미만,경남,유통,5,5,5,4,4,5,5
780,5년미만,부산,섬유,4,4,4,3,3,4,4
781,1년미만,경북,금속,3,3,3,4,4,5,3
782,5년미만,대전,잡화,3,2,3,3,3,4,4
783,1년미만,부산,잡화,5,4,3,3,4,5,5
784,1년미만,전남,기계,4,4,4,4,4,4,3
785,5년미만,서울,화공,4,4,3,3,3,4,4
786,1년미만,경기,잡화,5,5,5,5,5,5,5
787,3년미만,전북,유통,3,3,2,5,5,5,5
788,5년미만,서울,정보,3,3,4,4,3,5,4
789,3년미만,경기,잡화,3,3,4,3,4,4,3
790,3년미만,서울,정보,4,4,4,4,4,4,4
791,1년미만,인천,식료,5,,,,,,
792,3년미만,대구,금속,4,5,4,4,4,4,3
793,1년미만,부산,금속,5,4,5,5,5,5,5
794,3년미만,부산,유통,5,5,5,5,5,5,5
795,1년미만,제주,전기,3,4,4,4,5,5,5
796,7년미만,서울,전자,5,5,5,5,5,5,5
797,3년미만,서울,유통,4,3,3,3,4,4,4
798,5년미만,서울,유통,3,3,3,3,3,2,3
799,5년미만,인천,전기,5,3,3,3,3,5,5
800,5년미만,대구,기타,3,3,5,4,4,4,4
801,3년미만,경기,기계,4,3,3,2,3,5,4
802,3년미만,서울,정보,5,5,5,5,5,5,5
803,1년미만,전남,기타,4,3,4,4,4,5,4
804,1년미만,경기,금속,4,4,4,4,4,4,4
805,3년미만,서울,유통,3,3,3,3,4,5,3
806,3년미만,경기,유통,5,5,5,5,5,5,5
807,3년미만,대구,금속,4,4,4,4,4,4,4
808,1년미만,서울,정보,4,4,5,3,4,5,5
809,3년미만,경기,유통,4,4,5,5,5,5,5
810,1년미만,부산,기계,4,3,4,4,5,5,4
811,5년미만,경기,금속,4,4,4,4,4,4,4
812,5년미만,경기,기계,5,5,5,5,5,5,4
813,5년미만,경기,금속,4,4,4,4,4,4,4
814,1년미만,경남,금속,4,4,4,4,4,4,4
815,3년미만,부산,유통,4,4,5,5,5,5,5
816,3년미만,인천,기계,5,5,5,5,5,5,5
817,1년미만,서울,유통,4,4,4,4,4,4,5
818,1년미만,경북,금속,4,3,5,4,4,5,5
819,3년미만,충남,식료,4,4,4,3,4,5,5
820,3년미만,경남,전기,5,5,5,5,5,5,5
821,1년미만,경기,금속,5,5,5,5,5,5,5
822,5년미만,대전,정보,4,5,5,4,4,4,4
823,3년미만,경기,화공,4,2,4,3,4,4,4
824,1년미만,울산,유통,4,4,5,5,4,4,4
825,1년미만,경기,잡화,3,3,3,3,3,3,3
826,1년미만,전남,화공,4,3,3,3,4,5,4
827,1년미만,경기,화공,5,5,5,5,5,5,5
828,5년미만,경기,화공,4,3,3,4,3,4,4
829,1년미만,충남,금속,3,3,3,3,3,3,3
830,1년미만,전북,유통,3,3,3,3,2,4,3
831,3년미만,서울,유통,5,5,5,5,5,5,5
832,3년미만,경기,기계,4,4,5,5,4,5,5
833,1년미만,서울,전자,4,4,4,4,4,4,4
834,1년미만,서울,기계,4,3,4,4,4,5,4
835,3년미만,서울,유통,4,5,5,4,5,5,5
836,5년미만,서울,유통,4,5,4,4,4,5,4
837,1년미만,서울,정보,4,4,4,3,4,4,5
838,3년미만,경기,전기,4,4,5,3,3,5,5
839,5년미만,경기,기계,5,5,5,5,5,5,5
840,3년미만,경기,기계,4,4,5,4,4,5,4
841,1년미만,인천,잡화,5,5,5,4,4,5,4
842,1년미만,세종,정보,3,3,4,4,4,4,3
843,3년미만,대전,금속,4,4,4,4,4,4,4
844,3년미만,서울,잡화,3,3,3,3,3,4,3
845,5년미만,울산,화공,3,3,3,3,3,3,3
846,5년미만,경기,정보,4,2,3,4,4,5,4
847,3년미만,서울,식료,3,3,3,3,3,3,5
848,3년미만,경북,유통,4,4,4,4,4,4,4
849,1년미만,경기,전자,4,4,4,4,5,5,4
850,3년미만,경기,정보,3,3,5,5,5,5,5
851,1년미만,서울,잡화,3,5,5,5,5,5,5
852,3년미만,충북,금속,4,3,4,4,4,4,4
853,1년미만,서울,섬유,1,1,5,5,5,5,5
854,3년미만,서울,잡화,4,4,3,4,5,5,4
855,1년미만,인천,금속,3,3,3,3,3,3,3
856,3년미만,서울,전자,3,3,3,3,3,3,3
857,5년미만,인천,기타,5,5,5,5,5,5,5
858,5년미만,인천,유통,4,4,4,5,5,5,5
859,1년미만,부산,전기,3,3,3,3,3,3,3
860,7년미만,강원,유통,4,3,5,5,4,4,5
861,3년미만,서울,기타,4,4,4,3,4,5,4
862,1년미만,경기,섬유,5,5,5,5,5,5,5
863,7년미만,경남,잡화,4,5,4,4,4,4,4
864,7년미만,인천,기계,5,5,5,5,5,5,5
865,1년미만,부산,금속,4,4,4,4,4,4,4
866,1년미만,인천,유통,4,4,4,4,3,5,5
867,3년미만,서울,유통,3,3,3,3,3,3,3
868,1년미만,대구,금속,5,4,5,4,4,3,4
869,1년미만,부산,정보,4,4,4,4,4,4,4
870,1년미만,전남,잡화,4,5,5,4,4,4,4
871,1년미만,경기,금속,4,3,4,4,4,5,5
872,7년미만,경기,화공,3,3,3,3,3,3,3
873,5년미만,서울,기타,2,3,4,4,3,4,4
874,3년미만,경북,기계,4,4,5,5,5,5,5
875,1년미만,경기,유통,5,4,5,5,4,5,5
876,3년미만,울산,기계,4,5,5,5,5,5,5
877,3년미만,부산,화공,4,4,4,4,4,4,4
878,3년미만,부산,기타,3,3,4,4,4,4,4
879,1년미만,경기,기계,5,3,5,5,5,5,4
880,1년미만,경기,섬유,3,3,3,3,3,3,3
881,3년미만,경기,전기,5,4,4,4,5,5,5
882,3년미만,경기,정보,3,5,2,3,5,5,5
883,1년미만,서울,기타,3,3,4,3,3,3,4
884,3년미만,경남,화공,5,4,4,4,5,5,3
885,7년미만,서울,유통,5,5,5,5,5,5,5
886,1년미만,경기,기계,3,3,3,3,3,3,3
887,7년미만,경기,잡화,3,3,3,3,3,3,3
888,3년미만,부산,잡화,5,5,4,4,4,5,5
889,1년미만,경남,금속,4,4,5,5,5,5,4
890,1년미만,부산,금속,5,5,5,5,5,5,5
891,3년미만,서울,전기,4,4,4,4,4,5,5
892,1년미만,충북,식료,4,4,4,4,4,4,4
893,1년미만,경북,화공,3,3,3,3,3,3,4
894,1년미만,서울,유통,4,4,4,4,4,5,5
895,3년미만,부산,잡화,4,5,5,4,5,5,5
896,5년미만,부산,기타,3,4,3,4,3,3,3
897,5년미만,인천,금속,5,5,5,5,5,5,4
898,3년미만,부산,화공,3,3,3,4,4,5,5
899,7년미만,경북,금속,5,5,5,5,5,5,5
900,3년미만,경기,유통,5,4,4,4,4,5,5
901,3년미만,충남,금속,4,4,4,4,4,4,4
902,1년미만,부산,식료,4,4,4,3,3,4,4
903,1년미만,경기,화공,5,5,5,5,5,5,5
904,3년미만,경기,유통,5,5,5,5,5,5,5
905,1년미만,부산,금속,4,4,4,4,4,4,4
906,1년미만,울산,기타,4,4,5,4,4,5,5
907,5년미만,전남,금속,5,5,5,5,4,5,5
908,1년미만,경기,기계,4,4,4,4,4,4,4
909,1년미만,경북,화공,4,4,4,4,4,4,4
910,1년미만,경남,금속,5,5,5,5,5,5,5
911,1년미만,광주,식료,3,3,3,3,3,4,4
912,1년미만,경기,금속,3,4,5,5,4,5,4
913,1년미만,충남,유통,4,3,5,5,5,5,5
914,5년미만,대전,유통,4,4,3,3,3,3,4
915,1년미만,서울,화공,5,4,4,5,5,5,4
916,1년미만,경기,전자,5,5,5,5,5,5,5
917,1년미만,경기,화공,4,3,5,5,5,5,4
918,3년미만,서울,기타,5,5,5,4,4,5,5
919,3년미만,서울,기타,5,4,5,5,5,5,5
920,1년미만,경남,기계,3,3,3,3,3,4,3
921,3년미만,강원,식료,4,4,3,3,4,4,4
922,1년미만,강원,정보,4,3,5,5,4,5,5
923,1년미만,부산,섬유,4,5,5,3,3,5,3
924,1년미만,전남,화공,4,4,4,4,4,4,4
925,1년미만,부산,금속,4,5,3,,,,
